1;arms_factory;1152.00;9.75;1520.00;1.67;0
1;arms_factory;1187.00;9.70;1492.00;5.79;0
1;arms_factory;1185.00;9.70;1538.00;0.71;0
1;arms_factory;1198.00;9.70;1489.00;4.83;0
1;arms_factory;1165.00;11.07;1498.00;0.11;0
1;arms_factory;1164.00;9.70;1548.00;2.78;0
1;industrial_complex;1179.00;9.70;1512.00;5.44;0
1;industrial_complex;1131.00;9.70;1556.00;2.17;0
1;industrial_complex;1150.00;11.40;1499.00;3.38;0
1;industrial_complex;1153.00;9.90;1518.00;1.22;0
1;industrial_complex;1145.00;11.55;1495.00;5.34;0
1;industrial_complex;1184.00;9.70;1512.00;5.45;0
1;air_base;1184.00;9.70;1499.00;3.29;0
1;naval_base;1213.00;9.78;1487.00;-3.93;18110
1;naval_base;1194.00;9.70;1497.00;1.41;18110
1;naval_base;1216.00;9.50;1475.00;0.32;18348
1;naval_base;1208.00;9.53;1493.00;-3.66;18110
1;naval_base;1141.00;9.50;1534.00;-0.69;17549
1;naval_base;1213.00;9.78;1472.00;0.00;18221
1;naval_base;1133.00;9.50;1552.00;-1.33;17549
1;naval_base;1198.00;9.70;1529.00;0.00;18110
1;naval_base;1144.00;9.80;1523.00;-2.09;17549
1;naval_base;1222.00;9.50;1476.00;1.57;18348
1;naval_base;1175.00;9.57;1488.00;0.00;18221
1;naval_base;1173.00;9.50;1551.00;-2.58;18328
1;naval_base;1149.00;9.85;1494.00;-0.17;18289
1;naval_base;1142.00;9.50;1494.00;0.20;18289
1;naval_base;1166.00;9.78;1551.00;-3.39;18328
1;naval_base;1181.00;9.50;1488.00;-0.24;18221
1;naval_base;1195.00;10.00;1509.00;1.57;18110
1;naval_base;1155.00;9.75;1555.00;-3.39;18328
1;naval_base;1165.00;9.50;1493.00;0.00;18221
1;naval_base;1134.00;9.82;1496.00;0.00;18289
1;naval_base;1130.00;10.07;1500.00;-1.11;18289
1;naval_base;1158.00;9.50;1496.00;-0.24;18221
1;naval_base;1144.00;9.50;1530.00;-1.35;17549
1;bunker;1148.00;9.70;1552.00;0.25;0
1;bunker;1156.00;12.25;1499.00;1.45;0
1;bunker;1141.00;9.70;1541.00;4.47;0
